Time of transfer,Sender IP,Receiver IP,Goodput (Mb/s)
2016-01-26 10:47:23,130.216.31.108,202.36.29.35,20
2016-01-26 10:47:24,130.216.31.108,202.36.29.35,78
2016-01-26 10:47:25,130.216.31.108,202.36.29.35,36
2016-01-26 10:47:26,130.216.31.108,202.36.29.35,34
2016-01-26 10:47:27,130.216.31.108,202.36.29.35,64
2016-01-26 10:47:28,130.216.31.108,202.36.29.35,106
2016-01-26 10:47:29,130.216.31.108,202.36.29.35,20
2016-01-26 10:47:30,130.216.31.108,202.36.29.35,85
2016-01-26 10:47:31,130.216.31.108,202.36.29.35,62
2016-01-26 10:47:32,130.216.31.108,202.36.29.35,7
2016-01-26 10:47:33,130.216.31.108,202.36.29.35,61
2016-01-26 10:47:34,130.216.31.108,202.36.29.35,51
2016-01-26 10:47:35,130.216.31.108,202.36.29.35,92
2016-01-26 10:47:36,130.216.31.108,202.36.29.35,43
2016-01-26 10:47:37,130.216.31.108,202.36.29.35,54
2016-01-26 10:47:38,130.216.31.108,202.36.29.35,75
2016-01-26 10:47:39,130.216.31.108,202.36.29.35,54
2016-01-26 10:47:40,130.216.31.108,202.36.29.35,64
2016-01-26 10:47:41,130.216.31.108,202.36.29.35,57
2016-01-26 10:47:42,130.216.31.108,202.36.29.35,23
2016-01-26 10:47:43,130.216.31.108,202.36.29.35,67
2016-01-26 10:47:44,130.216.31.108,202.36.29.35,85
2016-01-26 10:47:45,130.216.31.108,202.36.29.35,48
2016-01-26 10:47:46,130.216.31.108,202.36.29.35,73
2016-01-26 10:47:47,130.216.31.108,202.36.29.35,8
2016-01-26 10:47:48,130.216.31.108,202.36.29.35,154
2016-01-26 10:47:49,130.216.31.108,202.36.29.35,60
2016-01-26 10:47:50,130.216.31.108,202.36.29.35,56
2016-01-26 10:47:51,130.216.31.108,202.36.29.35,60
2016-01-26 10:47:52,130.216.31.108,202.36.29.35,46
2016-01-26 10:47:53,130.216.31.108,202.36.29.35,45
2016-01-26 10:47:54,130.216.31.108,202.36.29.35,71
2016-01-26 10:47:55,130.216.31.108,202.36.29.35,44
2016-01-26 10:47:56,130.216.31.108,202.36.29.35,84
2016-01-26 10:47:57,130.216.31.108,202.36.29.35,87
2016-01-26 10:47:58,130.216.31.108,202.36.29.35,38
2016-01-26 10:47:59,130.216.31.108,202.36.29.35,22
2016-01-26 10:48:00,130.216.31.108,202.36.29.35,120
2016-01-26 10:48:01,130.216.31.108,202.36.29.35,22
2016-01-26 10:48:02,130.216.31.108,202.36.29.35,47
2016-01-26 10:48:03,130.216.31.108,202.36.29.35,122
2016-01-26 10:48:04,130.216.31.108,202.36.29.35,12
2016-01-26 10:48:05,130.216.31.108,202.36.29.35,14
2016-01-26 10:48:06,130.216.31.108,202.36.29.35,56
2016-01-26 10:48:07,130.216.31.108,202.36.29.35,22
2016-01-26 10:48:08,130.216.31.108,202.36.29.35,67
2016-01-26 10:48:09,130.216.31.108,202.36.29.35,56
2016-01-26 10:48:10,130.216.31.108,202.36.29.35,73
2016-01-26 10:48:11,130.216.31.108,202.36.29.35,40
